trans,word
"['n. 利益，好处；救济金', 'vi. 受益，得益', 'vt. 有益于，对…有益']",benefit
['n. 关系；关联'],relationship
"['n. [计]程序；计划；大纲', 'n. 程序；计划；大纲', 'vt. 用程序指令；为…制订计划；为…安排节目', 'vi. 编程序；安排节目；设计电脑程式']",program
"['v. 算出……的平均数；将……平均分配；使……平衡；平均为，平均达到；呈中间色；（行情下跌时）买进更多的证券（或商品）以降低平均进价', 'n. 平均；平均数；（海损的）平均分担；平均水平；（按保单规定应付赔偿额的）降减', 'adj. 平均（数）的；普通的；典型的；平庸的；中等的，适中的', 'adj. [数]平均的；普通的', 'n. 平均；[数]平均数；[保险]海损']",average
['prep 据..所说；根据；按照'],according to
"['n. 压力；压迫，[物] 压强', 'vt. 迫使；密封；使……增压', 'n. [力]压力；压迫，[物]压强']",pressure
"['vi. 全速前进，猛冲', 'n. 事业，职业；生涯', 'n. 生涯；职业；事业；速度，全速', 'adj. 作为毕生职业的']",career
"['vi. 降低；减弱；跌落', 'adj. 下方的；在底部的；（数字或数量）较小的；下游的；下级的；下等的', 'adj. 下游的；下级的；下等的', 'v. 变昏暗；变恶劣；减低；放下，降下；贬低', 'adv. 处于较低位置地；向低处下降地', 'n. (Lower) （美、英）洛厄（人名）', 'vt. 减弱，减少；放下，降下；贬低']",lower
"['vt. 谢绝；婉拒', 'n. 下降；衰退；斜面', 'vi. 下降；衰落；谢绝']",decline
"['vt. 减少；降低；使处于；把…分解', 'vi. 减少；缩小；归纳为']",reduce
"['n. 减少；下降；缩小', 'n. 减少；下降；缩小；还原反应']",reduction
"['n. 环境，外界', 'n. [环境]环境，外界']",environment
"['adj. 潜在的；可能的；势的', 'adj. 潜在的，可能的；势的', 'n. 潜能；可能性；[电]电势', 'n. 潜能，可能性；电势']",potential
"['n. 专业人员；职业运动员', 'n. [管理]专业人员；职业运动员', 'adj. 专业的；职业的；职业性的']",professional
